Vaccine  ,Price Tier (group) (4.2),Source,Year (Price),Avg. Price
PCV,High Income & Super HICs,V3P,2018,50.23767
PCV,USA,CDC,2018,130.46091
PCV,,UNICEF SD,2017,3.05000
PCV,,PAHO,2017,13.67500
PCV,China & Lower Middle Income,V3P,2017,16.83333
PCV,Upper Middle Income,V3P,2017,32.63884
PCV,High Income & Super HICs,V3P,2017,45.08773
PCV,USA,CDC,2017,124.04556
PCV,,UNICEF SD,2016,4.63000
PCV,,PAHO,2016,14.50000
PCV,China & Lower Middle Income,V3P,2016,14.99881
PCV,Upper Middle Income,V3P,2016,24.92910
PCV,High Income & Super HICs,V3P,2016,44.17313
PCV,USA,CDC,2016,119.81000
PCV,,UNICEF SD,2015,4.63000
PCV,,PAHO,2015,14.90000
PCV,China & Lower Middle Income,V3P,2015,
PCV,Upper Middle Income,V3P,2015,
PCV,High Income & Super HICs,V3P,2015,
PCV,USA,CDC,2015,115.79250
PCV,,UNICEF SD,2014,4.63000
PCV,,PAHO,2014,14.90000
PCV,China & Lower Middle Income,V3P,2014,
PCV,Upper Middle Income,V3P,2014,
PCV,High Income & Super HICs,V3P,2014,
PCV,USA,CDC,2014,110.66667
PCV,,UNICEF SD,2013,4.63000
PCV,,PAHO,2013,14.98000
PCV,China & Lower Middle Income,V3P,2013,
PCV,Upper Middle Income,V3P,2013,
PCV,High Income & Super HICs,V3P,2013,
PCV,USA,CDC,2013,105.98889
PCV,,UNICEF SD,2012,7.00000
PCV,,PAHO,2012,15.64000
PCV,USA,CDC,2012,100.58400
PCV7,Upper Middle Income,V3P,2020,
Penta,,UNICEF SD,2021,0.75000
Penta,,PAHO,2021,1.02760
Penta,,UNICEF SD,2020,0.67500
Penta,,PAHO,2020,1.00830
Penta,China & Lower Middle Income,V3P,2020,1.29575
Penta,Upper Middle Income,V3P,2020,1.30627
Penta,High Income & Super HICs,V3P,2020,3.92268
Penta,,UNICEF SD,2019,0.69000
Penta,,PAHO,2019,1.09050
Penta,China & Lower Middle Income,V3P,2019,0.97384
Penta,Upper Middle Income,V3P,2019,1.49107
Penta,High Income & Super HICs,V3P,2019,4.44991
Penta,,UNICEF SD,2018,0.65000
Penta,,PAHO,2018,1.08300
Penta,China & Lower Middle Income,V3P,2018,1.70077
Penta,Upper Middle Income,V3P,2018,1.30170
Penta,High Income & Super HICs,V3P,2018,4.76015
Penta,,UNICEF SD,2017,0.68000
Penta,,PAHO,2017,1.06400
Penta,China & Lower Middle Income,V3P,2017,1.70000
Penta,Upper Middle Income,V3P,2017,1.68133
Penta,High Income & Super HICs,V3P,2017,3.18400
Penta,,UNICEF SD,2016,1.15000
Penta,,PAHO,2016,2.10000
Penta,China & Lower Middle Income,V3P,2016,1.51140
Penta,Upper Middle Income,V3P,2016,2.05391
Penta,High Income & Super HICs,V3P,2016,3.32962
Penta,,UNICEF SD,2015,1.19000
Penta,,PAHO,2015,2.13250
Penta,China & Lower Middle Income,V3P,2015,
Penta,Upper Middle Income,V3P,2015,
Penta,,UNICEF SD,2014,1.19000
Penta,,PAHO,2014,2.40837
Penta,China & Lower Middle Income,V3P,2014,
Penta,Upper Middle Income,V3P,2014,
Penta,,UNICEF SD,2013,1.19000
Penta,,PAHO,2013,2.52330
Penta,,UNICEF SD,2012,1.60000
Penta,,PAHO,2012,2.93370
Penta,China & Lower Middle Income,V3P,2012,
PPSV,,PAHO,2021,8.63000
PPSV,USA,CDC,2021,60.76444
PPSV,,PAHO,2020,8.63000
PPSV,China & Lower Middle Income,V3P,2020,
PPSV,Upper Middle Income,V3P,2020,
PPSV,High Income & Super HICs,V3P,2020,42.98917
PPSV,USA,CDC,2020,58.18000
PPSV,,PAHO,2019,8.30000
PPSV,Upper Middle Income,V3P,2019,
PPSV,High Income & Super HICs,V3P,2019,25.31721
PPSV,USA,CDC,2019,55.50250
PPSV,,PAHO,2018,7.98000
PPSV,Upper Middle Income,V3P,2018,12.76009
PPSV,High Income & Super HICs,V3P,2018,20.45296
PPSV,USA,CDC,2018,52.49615
PPSV,,PAHO,2017,6.81000
PPSV,Upper Middle Income,V3P,2017,
PPSV,High Income & Super HICs,V3P,2017,17.44784
PPSV,USA,CDC,2017,42.00800
PPSV,,PAHO,2016,7.53500
PPSV,Upper Middle Income,V3P,2016,26.26727
PPSV,High Income & Super HICs,V3P,2016,16.09386
PPSV,USA,CDC,2016,45.99667
PPSV,,PAHO,2015,7.31000
PPSV,Upper Middle Income,V3P,2015,
PPSV,High Income & Super HICs,V3P,2015,
PPSV,USA,CDC,2015,43.15000
PPSV,,PAHO,2014,6.93000
PPSV,High Income & Super HICs,V3P,2014,
PPSV,USA,CDC,2014,40.83000
PPSV,,PAHO,2013,6.55000
PPSV,High Income & Super HICs,V3P,2013,
PPSV,USA,CDC,2013,39.17222
PPSV,,PAHO,2012,6.52500
PPSV,USA,CDC,2012,36.95500
Rabies,,UNICEF SD,2021,9.00000
Rabies,,PAHO,2021,10.44150
Rabies,,UNICEF SD,2020,8.00000
Rabies,,PAHO,2020,9.92980
Rabies,Upper Middle Income,V3P,2020,32.91296
Rabies,High Income & Super HICs,V3P,2020,41.65690
Rabies,,UNICEF SD,2019,7.50000
Rabies,,PAHO,2019,11.00000
Rabies,China & Lower Middle Income,V3P,2019,
Rabies,Upper Middle Income,V3P,2019,10.54841
Rabies,High Income & Super HICs,V3P,2019,30.83278
Rabies,,PAHO,2018,12.80000
Rabies,China & Lower Middle Income,V3P,2018,12.36061
Rabies,Upper Middle Income,V3P,2018,30.85808
Rabies,High Income & Super HICs,V3P,2018,26.99441
Rabies,,PAHO,2017,12.20000
Rabies,China & Lower Middle Income,V3P,2017,2.96000
Rabies,Upper Middle Income,V3P,2017,16.07541
Rabies,High Income & Super HICs,V3P,2017,30.11929
Rabies,,UNICEF SD,2016,8.00000
Rabies,,PAHO,2016,11.65000
Rabies,Upper Middle Income,V3P,2016,10.37305
Rabies,High Income & Super HICs,V3P,2016,29.18005
Rabies,,UNICEF SD,2015,8.00000
Rabies,,PAHO,2015,10.75000
Rabies,Upper Middle Income,V3P,2015,
Rabies,High Income & Super HICs,V3P,2015,
Rabies,,UNICEF SD,2014,8.00000
Rabies,,PAHO,2014,10.80000
Rabies,Upper Middle Income,V3P,2014,
Rabies,High Income & Super HICs,V3P,2014,
Rabies,,PAHO,2013,10.55000
Rabies,,PAHO,2012,10.53333
Rota,,UNICEF SD,2021,0.85000
Rota,USA,CDC,2021,81.83656
Rota,,UNICEF SD,2020,0.85000
Rota,,PAHO,2020,6.50000
Rota,USA,CDC,2020,79.80067
Rota,,UNICEF SD,2019,0.85000
Rota,,PAHO,2019,6.50000
Rota,USA,CDC,2019,78.40333
Rota,,UNICEF SD,2018,2.22000
Rota,,PAHO,2018,6.50000
Rota,USA,CDC,2018,77.53061
Rota,,UNICEF SD,2017,2.35000
Rota,,PAHO,2017,6.50000
Rota,USA,CDC,2017,75.01370
Rota,,UNICEF SD,2016,2.35000
Rota,,PAHO,2016,6.50000
Rota,USA,CDC,2016,72.86722
Rota,,UNICEF SD,2015,2.35000
Rota,,PAHO,2015,6.50000
Rota,USA,CDC,2015,70.98667
Rota,,UNICEF SD,2014,2.35000
Rota,,PAHO,2014,6.50000
Rota,USA,CDC,2014,73.28196
Rota,,UNICEF SD,2013,2.35000
Rota,,PAHO,2013,5.82500
Rota,USA,CDC,2013,72.91330
Rota,,UNICEF SD,2012,2.35000
Rota,,PAHO,2012,6.06500
Rota,USA,CDC,2012,70.82900
Seasonal Influenza,,PAHO,2021,1.43500
Seasonal Influenza,USA,CDC,2021,14.89172
Seasonal Influenza,,PAHO,2020,1.26000
Seasonal Influenza,Upper Middle Income,V3P,2020,7.27124
Seasonal Influenza,High Income & Super HICs,V3P,2020,6.82472
Seasonal Influenza,USA,CDC,2020,14.26988
Seasonal Influenza,,PAHO,2019,1.21000
Seasonal Influenza,Upper Middle Income,V3P,2019,4.58025
Seasonal Influenza,High Income & Super HICs,V3P,2019,9.50712
Seasonal Influenza,USA,CDC,2019,14.28105
Seasonal Influenza,,PAHO,2018,1.65667
Seasonal Influenza,Upper Middle Income,V3P,2018,3.97212
Seasonal Influenza,High Income & Super HICs,V3P,2018,6.88300
Seasonal Influenza,USA,CDC,2018,14.43240
Seasonal Influenza,,PAHO,2017,1.51875
Seasonal Influenza,Upper Middle Income,V3P,2017,4.15000
Seasonal Influenza,High Income & Super HICs,V3P,2017,6.94625
Seasonal Influenza,USA,CDC,2017,14.12986
Seasonal Influenza,,PAHO,2016,1.57500
Seasonal Influenza,Upper Middle Income,V3P,2016,3.30620
Seasonal Influenza,High Income & Super HICs,V3P,2016,6.40249
Seasonal Influenza,USA,CDC,2016,12.97245
Seasonal Influenza,,PAHO,2015,1.73750
Seasonal Influenza,High Income & Super HICs,V3P,2015,
Seasonal Influenza,USA,CDC,2015,11.56544
Seasonal Influenza,,PAHO,2014,1.66000
Seasonal Influenza,High Income & Super HICs,V3P,2014,
Seasonal Influenza,USA,CDC,2014,11.45361
Seasonal Influenza,,PAHO,2013,1.55000
Seasonal Influenza,High Income & Super HICs,V3P,2013,
Seasonal Influenza,USA,CDC,2013,10.51864
Seasonal Influenza,,PAHO,2012,1.85000
Seasonal Influenza,USA,CDC,2012,10.43733
Shingles,USA,CDC,2021,100.55550
Shingles,High Income & Super HICs,V3P,2020,114.99500
Shingles,USA,CDC,2020,102.08533
Shingles,USA,CDC,2019,102.39900
Shingles,USA,CDC,2018,110.90909
Shingles,USA,CDC,2017,133.41622
Shingles,USA,CDC,2016,117.12000
Shingles,USA,CDC,2015,116.83444
Shingles,USA,CDC,2014,115.20400
Shingles,USA,CDC,2013,114.44267
Shingles,USA,CDC,2012,115.41933
TCV,,UNICEF SD,2021,1.50000
TCV,,UNICEF SD,2020,1.50000
TCV,,UNICEF SD,2019,1.50000
TCV,,UNICEF SD,2018,1.50000
Td,,UNICEF SD,2021,0.08750
Td,,PAHO,2021,0.09900
Td,USA,CDC,2021,19.82378
Td,,UNICEF SD,2020,0.08750
Td,,PAHO,2020,0.09840
Td,China & Lower Middle Income,V3P,2020,0.15767
Td,Upper Middle Income,V3P,2020,0.62821
Td,High Income & Super HICs,V3P,2020,8.71158
Td,USA,CDC,2020,19.40522
Td,,UNICEF SD,2019,0.08500
Td,,PAHO,2019,0.09630
Td,China & Lower Middle Income,V3P,2019,0.16947
Td,Upper Middle Income,V3P,2019,0.29598
Td,High Income & Super HICs,V3P,2019,7.40990
Td,USA,CDC,2019,18.69583
Td,,UNICEF SD,2018,0.09900
Td,,PAHO,2018,0.09350
Td,China & Lower Middle Income,V3P,2018,0.20616
Td,Upper Middle Income,V3P,2018,1.95682
Td,High Income & Super HICs,V3P,2018,6.24318
Td,USA,CDC,2018,17.47561
Td,,UNICEF SD,2017,0.09900
Td,,PAHO,2017,0.11030
Td,China & Lower Middle Income,V3P,2017,0.36714
Td,Upper Middle Income,V3P,2017,0.54954
Td,High Income & Super HICs,V3P,2017,6.87667
Td,USA,CDC,2017,16.94620
Td,,UNICEF SD,2016,0.09900
Td,,PAHO,2016,0.11030
Td,China & Lower Middle Income,V3P,2016,0.51550
Td,Upper Middle Income,V3P,2016,0.68440
Td,High Income & Super HICs,V3P,2016,6.45353
Td,USA,CDC,2016,19.21105
Td,,UNICEF SD,2015,0.10500
Td,,PAHO,2015,0.11167
Td,Upper Middle Income,V3P,2015,
Td,High Income & Super HICs,V3P,2015,
Td,USA,CDC,2015,18.44333
Td,,UNICEF SD,2014,0.10000
Td,,PAHO,2014,0.10050
Td,China & Lower Middle Income,V3P,2014,
Td,Upper Middle Income,V3P,2014,
Td,High Income & Super HICs,V3P,2014,
Td,USA,CDC,2014,17.65000
Td,,UNICEF SD,2013,0.10000
Td,,PAHO,2013,0.10050
Td,Upper Middle Income,V3P,2013,
Td,High Income & Super HICs,V3P,2013,
Td,USA,CDC,2013,17.32030
Td,,UNICEF SD,2012,0.09400
Td,,PAHO,2012,0.08500
Td,USA,CDC,2012,16.29523
Td-IPV,Upper Middle Income,V3P,2020,
Td-IPV,High Income & Super HICs,V3P,2020,14.12861
Td-IPV,Upper Middle Income,V3P,2019,
Td-IPV,High Income & Super HICs,V3P,2019,15.97583
Td-IPV,High Income & Super HICs,V3P,2018,14.84381
Td-IPV,High Income & Super HICs,V3P,2017,12.64171
Td-IPV,High Income & Super HICs,V3P,2016,12.48826
Td-IPV,High Income & Super HICs,V3P,2015,
Td-IPV,High Income & Super HICs,V3P,2014,
Tdap,,PAHO,2021,12.77240
Tdap,USA,CDC,2021,33.29061
Tdap,,PAHO,2020,12.93780
Tdap,Upper Middle Income,V3P,2020,19.51169
Tdap,High Income & Super HICs,V3P,2020,19.50963
Tdap,USA,CDC,2020,32.58967
Tdap,,PAHO,2019,12.71800
Tdap,Upper Middle Income,V3P,2019,17.41377
Tdap,High Income & Super HICs,V3P,2019,17.86408
Tdap,USA,CDC,2019,31.77875
Tdap,,PAHO,2018,11.46530
Tdap,Upper Middle Income,V3P,2018,19.77007
Tdap,High Income & Super HICs,V3P,2018,17.12240
Tdap,USA,CDC,2018,31.17000
Tdap,,PAHO,2017,11.39430
Tdap,Upper Middle Income,V3P,2017,20.13273
Tdap,High Income & Super HICs,V3P,2017,17.21895
Tdap,USA,CDC,2017,31.29667
Tdap,,PAHO,2016,10.92780
Tdap,Upper Middle Income,V3P,2016,
Tdap,High Income & Super HICs,V3P,2016,15.69782
Tdap,USA,CDC,2016,31.41083
Tdap,High Income & Super HICs,V3P,2015,
Tdap,USA,CDC,2015,30.49750
Tdap,High Income & Super HICs,V3P,2014,
Tdap,USA,CDC,2014,30.46722
Tdap,Upper Middle Income,V3P,2013,
Tdap,High Income & Super HICs,V3P,2013,
Tdap,USA,CDC,2013,30.46091
Tdap,,PAHO,2012,8.50000
Tdap,USA,CDC,2012,30.16400
Tdap-IPV,Upper Middle Income,V3P,2020,
Tdap-IPV,High Income & Super HICs,V3P,2020,25.27139
Tdap-IPV,High Income & Super HICs,V3P,2019,22.97425
Tdap-IPV,High Income & Super HICs,V3P,2018,25.03327
Tdap-IPV,High Income & Super HICs,V3P,2017,24.13333
Tdap-IPV,High Income & Super HICs,V3P,2016,23.79450
Tdap-IPV,High Income & Super HICs,V3P,2015,
Tdap-IPV,High Income & Super HICs,V3P,2014,
Tdap-IPV,High Income & Super HICs,V3P,2013,
TT,Upper Middle Income,V3P,2020,0.74192
TT,High Income & Super HICs,V3P,2020,5.35044
TT,,UNICEF SD,2019,0.06600
TT,China & Lower Middle Income,V3P,2019,
TT,Upper Middle Income,V3P,2019,0.85937
TT,High Income & Super HICs,V3P,2019,3.76323
TT,,UNICEF SD,2018,0.05310
TT,China & Lower Middle Income,V3P,2018,0.23237
TT,Upper Middle Income,V3P,2018,1.44687
TT,High Income & Super HICs,V3P,2018,2.64040
TT,,UNICEF SD,2017,0.05310
TT,China & Lower Middle Income,V3P,2017,0.20125
TT,Upper Middle Income,V3P,2017,0.58074
TT,High Income & Super HICs,V3P,2017,3.19839
TT,,UNICEF SD,2016,0.05310
TT,China & Lower Middle Income,V3P,2016,0.37935
TT,Upper Middle Income,V3P,2016,0.84021
TT,High Income & Super HICs,V3P,2016,3.67025
TT,,UNICEF SD,2015,0.05000
TT,China & Lower Middle Income,V3P,2015,
TT,Upper Middle Income,V3P,2015,
TT,High Income & Super HICs,V3P,2015,
TT,,UNICEF SD,2014,0.05000
TT,China & Lower Middle Income,V3P,2014,
TT,Upper Middle Income,V3P,2014,
TT,High Income & Super HICs,V3P,2014,
TT,,UNICEF SD,2013,0.05000
TT,Upper Middle Income,V3P,2013,
TT,High Income & Super HICs,V3P,2013,
TT,,UNICEF SD,2012,0.02950
TT,China & Lower Middle Income,V3P,2012,
Typhoid Ps,,PAHO,2021,10.00000
Typhoid Ps,,PAHO,2020,10.00000
Typhoid Ps,Upper Middle Income,V3P,2020,6.52247
Typhoid Ps,High Income & Super HICs,V3P,2020,14.21969
Typhoid Ps,,PAHO,2019,10.00000
Typhoid Ps,Upper Middle Income,V3P,2019,6.93633
Typhoid Ps,High Income & Super HICs,V3P,2019,11.97052
Typhoid Ps,,PAHO,2018,9.00000
Typhoid Ps,Upper Middle Income,V3P,2018,11.28596
Typhoid Ps,High Income & Super HICs,V3P,2018,13.14583
Typhoid Ps,,PAHO,2017,9.00000
Typhoid Ps,Upper Middle Income,V3P,2017,8.28333
Typhoid Ps,High Income & Super HICs,V3P,2017,13.35990
Typhoid Ps,,PAHO,2016,8.90000
Typhoid Ps,Upper Middle Income,V3P,2016,4.55752
Typhoid Ps,High Income & Super HICs,V3P,2016,14.56155
Typhoid Ps,,PAHO,2015,8.90000
Typhoid Ps,Upper Middle Income,V3P,2015,
Typhoid Ps,High Income & Super HICs,V3P,2015,
Typhoid Ps,,PAHO,2014,8.20000
Typhoid Ps,Upper Middle Income,V3P,2014,
Typhoid Ps,High Income & Super HICs,V3P,2014,
Typhoid Ps,Upper Middle Income,V3P,2013,
Typhoid Ps,High Income & Super HICs,V3P,2013,
Typhoid Ps,,PAHO,2012,7.80000
Varicella,,PAHO,2021,15.36500
Varicella,USA,CDC,2021,112.87667
Varicella,,PAHO,2020,15.85000
Varicella,High Income & Super HICs,V3P,2020,33.88529
Varicella,USA,CDC,2020,107.53667
Varicella,,PAHO,2019,16.58940
Varicella,Upper Middle Income,V3P,2019,19.81052
Varicella,High Income & Super HICs,V3P,2019,24.35396
Varicella,USA,CDC,2019,102.62750
Varicella,,PAHO,2018,14.45900
Varicella,Upper Middle Income,V3P,2018,22.73307
Varicella,High Income & Super HICs,V3P,2018,35.20065
Varicella,USA,CDC,2018,95.13725
Varicella,,PAHO,2017,14.85020
Varicella,Upper Middle Income,V3P,2017,27.77000
Varicella,High Income & Super HICs,V3P,2017,35.26538
Varicella,USA,CDC,2017,84.96833
Varicella,,PAHO,2016,14.85020
Varicella,Upper Middle Income,V3P,2016,19.19465
Varicella,High Income & Super HICs,V3P,2016,43.13303
Varicella,USA,CDC,2016,86.35722
Varicella,,PAHO,2015,15.80000
Varicella,Upper Middle Income,V3P,2015,
Varicella,High Income & Super HICs,V3P,2015,
Varicella,USA,CDC,2015,81.96000
Varicella,,PAHO,2014,12.90000
Varicella,Upper Middle Income,V3P,2014,
Varicella,High Income & Super HICs,V3P,2014,
Varicella,USA,CDC,2014,77.34667
Varicella,,PAHO,2013,9.90000
Varicella,Upper Middle Income,V3P,2013,
Varicella,High Income & Super HICs,V3P,2013,
Varicella,USA,CDC,2013,74.72222
Varicella,,PAHO,2012,8.30000
Varicella,USA,CDC,2012,71.66320
YF,,UNICEF SD,2021,0.97000
YF,,PAHO,2021,1.35500
YF,,UNICEF SD,2020,0.88850
YF,,PAHO,2020,1.35500
YF,Upper Middle Income,V3P,2020,13.40691
YF,High Income & Super HICs,V3P,2020,36.59399
YF,,UNICEF SD,2019,0.88900
YF,,PAHO,2019,1.43000
YF,Upper Middle Income,V3P,2019,14.21672
YF,High Income & Super HICs,V3P,2019,25.45979
YF,,UNICEF SD,2018,0.97000
YF,,PAHO,2018,1.35500
YF,Upper Middle Income,V3P,2018,12.55818
YF,High Income & Super HICs,V3P,2018,26.47155
YF,,UNICEF SD,2017,0.84600
YF,,PAHO,2017,1.17470
YF,Upper Middle Income,V3P,2017,10.70930
YF,High Income & Super HICs,V3P,2017,35.76750
YF,,UNICEF SD,2016,0.76900
YF,,PAHO,2016,1.11320
YF,Upper Middle Income,V3P,2016,13.28945
YF,High Income & Super HICs,V3P,2016,25.35175
YF,,UNICEF SD,2015,0.76900
YF,,PAHO,2015,1.16700
YF,Upper Middle Income,V3P,2015,
YF,High Income & Super HICs,V3P,2015,
YF,,UNICEF SD,2014,0.69900
YF,,PAHO,2014,1.12500
YF,Upper Middle Income,V3P,2014,
YF,High Income & Super HICs,V3P,2014,
YF,,UNICEF SD,2013,0.70000
YF,,PAHO,2013,0.97500
YF,High Income & Super HICs,V3P,2013,
YF,,UNICEF SD,2012,0.66000
YF,,PAHO,2012,1.09000
