Limit,Method,Cluster,Solve,N_Mkts,ExpName[i],interest_rate,_total_solve_time,MV,TSS,UVP,TPF,TCS,TVPC\n
Low,MC,GNI,TSS,3,TSS_market_assignments_GNI_3_MC,1.05,0.21875,5488036377,3906825742,2865913432,1955585040,3532451337,
Medium,MC,Coverage,TSS,4,TSS_market_assignments_Coverage_4_MC,1.05,1.53125,4137437427,2796542354,1053701037,2432414221,1705023206,
High,MC,GNI,TSS,3,TSS_market_assignments_GNI_3_MC,1.05,0.21875,5488036377,3906825742,3473456504,1348041968,4139994409,
Low,MC,GNI,TSS,2,TSS_market_assignments_GNI_2_MC,1.05,0.34375,5393552883,3828089498,2396264523,2330750455,3062802429,
Medium,BH,GNI,TSS,1,TSS_market_assignments_1,1.05,0.21875,3850129315,2610792562,1515985721,1275945237,2113634255,
High,MC,GNI,TSS,2,TSS_market_assignments_GNI_2_MC,1.05,0.34375,5393552883,3828089498,3379064484,1347950494,4045602389,
Low,BH,GNI,TSS,4,TSS_market_assignments_GNI_4_BH,1.05,1.125,5356736971,3797409571,2539217779,2150981287,3205755684,
Medium,MC,GNI,TSS,1,TSS_market_assignments_1,1.05,0.21875,3850129315,2610792562,1515985721,1275945237,2113634255,
High,BH,GNI,TSS,4,TSS_market_assignments_GNI_4_BH,1.05,1.125,5356736971,3797409571,3016419043,1673780023,3682956948,
Low,MC,GNI,UVP,2,UVP_market_assignments_GNI_2_MC,1.05,0.21875,5309241941,3757830379,2314921466,2327782569,2981459372,
Medium,MC,Coverage,TSS,1,TSS_market_assignments_1,1.05,0.203125,3850129315,2610792562,1515985721,1275945237,2113634255,
High,MC,GNI,UVP,2,UVP_market_assignments_GNI_2_MC,1.05,0.21875,5309241941,3757830379,3379818647,1262885388,4046356553,
Low,BH,GNI,TSS,3,TSS_market_assignments_GNI_3_BH,1.05,1.203125,5167895792,3640041921,2224767708,2276590178,2891305614,
Medium,BH,Coverage,TSS,2,TSS_market_assignments_Coverage_2_BH,1.05,0.421875,4110119744,2773777618,1608877382,1849920193,2260199551,
High,BH,GNI,TSS,3,TSS_market_assignments_GNI_3_BH,1.05,1.203125,5167895792,3640041921,2832900471,1668457416,3499438376,
Low,MC,GNI,TSS,4,TSS_market_assignments_GNI_4_MC,1.05,0.484375,5156007552,3630135055,2796422516,1693047131,3462960421,
Medium,MC,Coverage,TSS,2,TSS_market_assignments_Coverage_2_MC,1.05,0.5,4066706327,2784625753,1635982359,1826427783,2240278545,
High,MC,GNI,TSS,4,TSS_market_assignments_GNI_4_MC,1.05,0.484375,5156007552,3630135055,3402460471,1087009176,4068998376,
Low,BH,GNI,TSS,2,TSS_market_assignments_GNI_2_BH,1.05,1.796875,4890357377,3408759909,1732398708,2491420765,2398936613,
Medium,BH,Coverage,TSS,3,TSS_market_assignments_Coverage_3_BH,1.05,2.390625,4375937343,2995292284,966008141.4,2758607033,1617330310,
High,BH,GNI,TSS,2,TSS_market_assignments_GNI_2_BH,1.05,1.796875,4890357377,3408759909,3686872283,536947189.3,4353410188,
Low,BH,Coverage,TSS,3,TSS_market_assignments_Coverage_3_BH,1.05,2.390625,4375937343,2995292284,551835339.8,3172779835,1203157508,
Medium,MC,Coverage,TSS,3,TSS_market_assignments_Coverage_3_MC,1.05,0.28125,4033707782,2757126966,1068563477,2360848120,1672859662,
High,BH,Coverage,TSS,3,TSS_market_assignments_Coverage_3_BH,1.05,2.390625,4375937343,2995292284,1380180943,2344434231,2031503112,
Low,BH,Coverage,TSS,4,TSS_market_assignments_Coverage_4_BH,1.05,2.921875,4248266457,2888899880,555091555.6,3041852733,1206413724,
Medium,BH,Coverage,TSS,4,TSS_market_assignments_Coverage_4_BH,1.05,2.921875,4248266457,2888899880,955078680.8,2641865608,1606400849,
High,BH,Coverage,TSS,4,TSS_market_assignments_Coverage_4_BH,1.05,2.921875,4248266457,2888899880,1355065806,2241878483,2006387974,
Low,MC,Coverage,TSS,4,TSS_market_assignments_Coverage_4_MC,1.05,1.53125,4137437427,2796542354,564067347.9,2922047910,1215389516,
Medium,BH,Coverage,TSS,1,TSS_market_assignments_1,1.05,0.21875,4603433143,2610792562,1515985721,1275945237,2113634255,
High,MC,Coverage,TSS,4,TSS_market_assignments_Coverage_4_MC,1.05,1.53125,4137437427,2796542354,1543334727,1942780532,2194656895,
Low,MC,Coverage,TSS,2,TSS_market_assignments_Coverage_2_MC,1.05,0.5,4066706327,2784625753,564239193.1,2898170948,1168535379,
Medium,BH,GNI,TSS,2,TSS_market_assignments_GNI_2_BH,1.05,1.796875,4890357377,3408759909,2709635496,1514183977,3376173401,
High,MC,Coverage,TSS,2,TSS_market_assignments_Coverage_2_MC,1.05,0.5,4066706327,2784625753,2707725524,754684617.2,3312021710,
Low,BH,Coverage,TSS,2,TSS_market_assignments_Coverage_2_BH,1.05,0.421875,4110119744,2773777618,545084958.9,2913712617,1196407127,
Medium,MC,GNI,TSS,2,TSS_market_assignments_GNI_2_MC,1.05,0.34375,5393552883,3828089498,2887664504,1839350475,3554202409,
High,BH,Coverage,TSS,2,TSS_market_assignments_Coverage_2_BH,1.05,0.421875,4110119744,2773777618,2672669806,786127769.6,3323991975,
Low,MC,Coverage,TSS,3,TSS_market_assignments_Coverage_3_MC,1.05,0.28125,4033707782,2757126966,609028172.3,2820383424,1213324358,
Medium,BH,GNI,TSS,3,TSS_market_assignments_GNI_3_BH,1.05,1.203125,5167895792,3640041921,2528834090,1972523797,3195371995,
High,MC,Coverage,TSS,3,TSS_market_assignments_Coverage_3_MC,1.05,0.28125,4033707782,2757126966,1528098781,1901312816,2132394966,
Low,BH,GNI,UVP,2,UVP_market_assignments_GNI_2_BH,1.05,0.484375,4079156578,2732759243,1217399117,2195219556,1883937022,
Medium,MC,GNI,TSS,3,TSS_market_assignments_GNI_3_MC,1.05,0.21875,5488036377,3906825742,3169684968,1651813504,3836222873,
High,BH,GNI,UVP,2,UVP_market_assignments_GNI_2_BH,1.05,0.484375,4079156578,2732759243,2658038784,754579888.9,3324576689,
Low,BH,Coverage,UVP,2,UVP_market_assignments_Coverage_2_BH,1.05,1.171875,4017943383,2696963984,464026419.9,2902594794,1115348588,
Medium,BH,GNI,TSS,4,TSS_market_assignments_GNI_4_BH,1.05,1.125,5356736971,3797409571,2777818411,1912380655,3444356316,
High,BH,Coverage,UVP,2,UVP_market_assignments_Coverage_2_BH,1.05,1.171875,4017943383,2696963984,2350580898,1016040316,3001903067,
Low,BH,Coverage,UVP,4,UVP_market_assignments_Coverage_4_BH,1.05,1.1875,3933148768,2626301805,437689425.2,2844137175,1089011594,
Medium,MC,GNI,TSS,4,TSS_market_assignments_GNI_4_MC,1.05,0.484375,5156007552,3630135055,3099441494,1390028154,3765979399,
High,BH,Coverage,UVP,4,UVP_market_assignments_Coverage_4_BH,1.05,1.1875,3933148768,2626301805,2011361776,1270464824,2662683944,
Low,BH,Coverage,TSS,1,TSS_market_assignments_1,1.05,0.21875,3850129315,2610792562,271744588.3,2980736193,869393122.1,
Low,MC,Coverage,TSS,1,TSS_market_assignments_1,1.05,0.203125,3850129315,2610792562,271744588.3,2980736193,869393122.1,
Low,MC,GNI,TSS,1,TSS_market_assignments_1,1.05,0.21875,3850129315,2610792562,271744588.3,2980736193,869393122.1,
Low,BH,GNI,TSS,1,TSS_market_assignments_1,1.05,0.21875,3850129315,2610792562,271744588.3,2980736193,869393122.1,
Low,BH,Coverage,UVP,1,UVP_market_assignments_1,1.05,0.21875,3850129315,2610792562,271744588.3,2980736193,869393122.1,
Low,MC,Coverage,UVP,1,UVP_market_assignments_1,1.05,0.21875,3850129315,2610792562,271744588.3,2980736193,869393122.1,
Low,MC,GNI,UVP,1,UVP_market_assignments_1,1.05,0.21875,3850129315,2610792562,271744588.3,2980736193,869393122.1,
Low,BH,GNI,UVP,1,UVP_market_assignments_1,1.05,0.21875,3850129315,2610792562,271744588.3,2980736193,869393122.1,
Medium,BH,GNI,UVP,1,UVP_market_assignments_1,1.05,0.21875,3850129315,2610792562,1515985721,1736495061,2113634255,
Medium,MC,GNI,UVP,1,UVP_market_assignments_1,1.05,0.21875,3850129315,2610792562,1515985721,1736495061,2113634255,
Medium,MC,Coverage,UVP,1,UVP_market_assignments_1,1.05,0.21875,3850129315,2610792562,1515985721,1736495061,2113634255,
Medium,BH,Coverage,UVP,1,UVP_market_assignments_1,1.05,0.21875,3850129315,2610792562,1515985721,1736495061,2113634255,
Medium,BH,Coverage,UVP,2,UVP_market_assignments_Coverage_2_BH,1.05,1.171875,4017943383,2696963984,1407303659,1959317555,2058625828,
Medium,MC,Coverage,UVP,2,UVP_market_assignments_Coverage_2_MC,1.05,0.15625,3686184465,2467524202,1219798589,1862089691,1824094775,
Medium,BH,Coverage,UVP,3,UVP_market_assignments_Coverage_3_BH,1.05,1.375,3774747782,2494300983,1071908381,2051517233,1723230549,
Medium,MC,Coverage,UVP,3,UVP_market_assignments_Coverage_3_MC,1.05,3.28125,3748345073,2472298726,1223363141,1873659765,1874685309,
High,BH,Coverage,TSS,1,TSS_market_assignments_1,1.05,0.21875,3850129315,2610792562,2760226853,492253928.1,3357875387,
High,BH,GNI,TSS,1,TSS_market_assignments_1,1.05,0.21875,3850129315,2610792562,2760226853,492253928.1,3357875387,
High,MC,GNI,TSS,1,TSS_market_assignments_1,1.05,0.203125,3850129315,2610792562,2760226853,492253928.1,3357875387,
High,MC,GNI,TSS,1,TSS_market_assignments_1,1.05,0.21875,3850129315,2610792562,2760226853,492253928.1,3357875387,
High,BH,Coverage,UVP,1,UVP_market_assignments_1,1.05,0.21875,3850129315,2610792562,2760226853,492253928.1,3357875387,
High,BH,GNI,UVP,1,UVP_market_assignments_1,1.05,0.21875,3850129315,2610792562,2760226853,492253928.1,3357875387,
High,MC,Coverage,UVP,1,UVP_market_assignments_1,1.05,0.21875,3850129315,2610792562,2760226853,492253928.1,3357875387,
High,MC,GNI,UVP,1,UVP_market_assignments_1,1.05,0.21875,3850129315,2610792562,2760226853,492253928.1,3357875387,
Low,BH,Coverage,UVP,3,UVP_market_assignments_Coverage_3_BH,1.05,1.375,3774747782,2494300983,358906764.4,2764518849,1010228933,
Medium,BH,Coverage,UVP,4,UVP_market_assignments_Coverage_4_BH,1.05,1.1875,3933148768,2626301805,1224525601,2057301000,1875847769,
High,BH,Coverage,UVP,3,UVP_market_assignments_Coverage_3_BH,1.05,1.375,3774747782,2494300983,1784909997,1338515617,2436232165,
Low,MC,Coverage,UVP,4,UVP_market_assignments_Coverage_4_MC,1.05,0.109375,3709761775,2487171960,402211611.4,2703253977,1006507797,
Medium,MC,Coverage,UVP,4,UVP_market_assignments_Coverage_4_MC,1.05,0.109375,3709761775,2487171960,1117579177,1987886412,1721875363,
High,MC,Coverage,UVP,4,UVP_market_assignments_Coverage_4_MC,1.05,0.109375,3709761775,2487171960,1832946743,1272518846,2437242929,
Low,MC,Coverage,UVP,3,UVP_market_assignments_Coverage_3_MC,1.05,3.28125,3748345073,2472298726,387041445,2709981460,1038363613,
Medium,BH,GNI,UVP,2,UVP_market_assignments_GNI_2_BH,1.05,0.484375,4079156578,2732759243,1937718951,1474899722,2604256856,
High,MC,Coverage,UVP,3,UVP_market_assignments_Coverage_3_MC,1.05,3.28125,3748345073,2472298726,2059684836,1037338069,2711007004,
Low,MC,GNI,UVP,4,UVP_market_assignments_GNI_4_MC,1.05,0.1875,3762379545,2468778382,1610073853,1485767787,2276611758,
Medium,MC,GNI,UVP,2,UVP_market_assignments_GNI_2_MC,1.05,0.21875,5309241941,3757830379,2847370057,1795333979,3513907963,
High,MC,GNI,UVP,4,UVP_market_assignments_GNI_4_MC,1.05,0.1875,3762379545,2468778382,2508728905,587112734.7,3175266810,
Low,MC,Coverage,UVP,2,UVP_market_assignments_Coverage_2_MC,1.05,0.15625,3686184465,2467524202,378235355.1,2703652924,982531541,
Medium,BH,GNI,UVP,3,UVP_market_assignments_GNI_3_BH,1.05,0.21875,3568490586,2307204250,1637354406,1264598276,2303892311,
High,MC,Coverage,UVP,2,UVP_market_assignments_Coverage_2_MC,1.05,0.15625,3686184465,2467524202,2061361823,1020526457,2665658009,
Low,BH,GNI,UVP,3,UVP_market_assignments_GNI_3_BH,1.05,0.21875,3568490586,2307204250,1328773271,1573179410,1995311176,
Medium,MC,GNI,UVP,3,UVP_market_assignments_GNI_3_MC,1.05,0.28125,3468030203,2223487264,1741042220,1060450079,2407580125,
High,BH,GNI,UVP,3,UVP_market_assignments_GNI_3_BH,1.05,0.21875,3568490586,2307204250,1945935540,956017141.6,2612473445,
Low,BH,GNI,UVP,4,UVP_market_assignments_GNI_4_BH,1.05,0.0625,3484528719,2237236027,1469140273,1348850541,2135678178,
Medium,BH,GNI,UVP,4,UVP_market_assignments_GNI_4_BH,1.05,0.0625,3484528719,2237236027,1794994061,1022996753,2461531966,
High,BH,GNI,UVP,4,UVP_market_assignments_GNI_4_BH,1.05,0.0625,3484528719,2237236027,2120847849,697142964.8,2787385754,
Low,MC,GNI,UVP,3,UVP_market_assignments_GNI_3_MC,1.05,0.28125,3468030203,2223487264,1289702084,1511790215,1956239989,
Medium,MC,GNI,UVP,4,UVP_market_assignments_GNI_4_MC,1.05,0.1875,3762379545,2468778382,2059401379,1036440261,2725939284,
High,MC,GNI,UVP,3,UVP_market_assignments_GNI_3_MC,1.05,0.28125,3468030203,2223487264,2192382356,609109942,2858920261,
